,Baseline,High Correlation Filter,Mutual Information Filter,Anova (f-Test) Filter,RFECV,Ridge,Lasso
Accuracy Mean,0.8555555555555555,0.8722222222222223,0.8666666666666667,0.9055555555555556,0.9277777777777779,0.8777777777777778,0.911111111111111
Accuracy Std,0.1257078722109418,0.0931280811902234,0.10540925533894599,0.10786937688304223,0.08031573497111642,0.1227262335243029,0.08089010988089464
Specificity,0.8552631578947368,0.88,0.8783783783783784,0.9315068493150684,0.9135802469135802,0.8536585365853658,0.9
Sensitivity,0.8557692307692307,0.8666666666666667,0.8584905660377359,0.8878504672897196,0.9393939393939394,0.8979591836734694,0.92
AUC Score,0.85125,0.8674999999999999,0.8612500000000001,0.9,0.9275,0.8775,0.91
Execution Time (s),6.0670740604400635,2.572356939315796,209.17231822013855,24.790698051452637,20.713761806488037,1.3274486064910889,1.2524807453155518
Number of Features,432.0,350.0,360.0,300.0,161.0,175.0,136.0
